fold,auc_with_duration,f1_with_duration
1,0.9410600304578827,0.7259151518181076
2,0.9466381066927883,0.7338704949893805
3,0.9448867819238046,0.7264119601328904
4,0.9400614609042818,0.7020622432799375
5,0.9438934028777317,0.7097165512320568
6,0.9435620859520979,0.7264796127850972
7,0.9439034463864282,0.7122826435308616
8,0.9408724156807595,0.7124836267042106
9,0.9454582403269421,0.734230954820591
10,0.940283260501267,0.7196403539612028
11,0.9413815516297681,0.7310830414619258
12,0.9445367019577486,0.7148981169004273
13,0.9418159488067653,0.7150654090435112
14,0.9476482164009005,0.7213688496825403
15,0.9394720107785167,0.7183459353132928
