Algorithm,roc_auc_mean,roc_auc_std,roc_auc_str,pr_auc_mean,pr_auc_std,pr_auc_str,macro_f1_mean,macro_f1_std,macro_f1_str,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_str,mcc_mean,mcc_std,mcc_str,train_time_sec_mean,train_time_sec_std,train_time_sec_str,latency_ms_sample_mean,latency_ms_sample_std,latency_ms_sample_str,Rank_AUC
Random_Forest,0.7985317840520063,0.008213483128800731,0.7985 ± 0.0082,0.46646642572346786,0.00924930744120902,0.4665 ± 0.0092,0.6286513466964326,0.005763778444771867,0.6287 ± 0.0058,0.5947067063777249,0.004338233313425552,0.5947 ± 0.0043,0.33759031235082604,0.010546574900600776,0.3376 ± 0.0105,97.74090840021769,4.221891125630959,97.7409 ± 4.2219,0.00766084423623214,0.001336101885247398,0.0077 ± 0.0013,1
Neural_Network_MLP,0.7915927687431624,0.006284396049860551,0.7916 ± 0.0063,0.45369663676176447,0.010582349623850126,0.4537 ± 0.0106,0.6399423403147129,0.010648547466699364,0.6399 ± 0.0106,0.6048261082391092,0.009917923342836308,0.6048 ± 0.0099,0.3463939666231685,0.011938078292468835,0.3464 ± 0.0119,66.71281434694926,6.592427166325885,66.7128 ± 6.5924,0.004200756816275947,0.0015551356646355391,0.0042 ± 0.0016,2
Logistic_Regression,0.7818790469123014,0.008492843340101518,0.7819 ± 0.0085,0.4327492923989753,0.012363661933758754,0.4327 ± 0.0124,0.592249489235291,0.005378924683727276,0.5922 ± 0.0054,0.568214974447695,0.003478994935196347,0.5682 ± 0.0035,0.29501012995717973,0.011990039636554633,0.2950 ± 0.0120,11.145354747772217,0.8397479473497187,11.1454 ± 0.8397,0.00584867115129038,0.0034560126448276787,0.0058 ± 0.0035,3
Decision_Tree,0.7614412958828233,0.011301181057172122,0.7614 ± 0.0113,0.3985538932869202,0.008443616828686024,0.3986 ± 0.0084,0.6230257682690695,0.009348974446976759,0.6230 ± 0.0093,0.5905769101003756,0.007087123053049704,0.5906 ± 0.0071,0.32942679576599515,0.014546522004410332,0.3294 ± 0.0145,7.303231890996297,0.5163083631173929,7.3032 ± 0.5163,0.002300804018495973,0.0004003757587764985,0.0023 ± 0.0004,4
