outer_fold,repeat,split,algorithm,roc_auc,pr_auc,macro_f1,balanced_accuracy,mcc,train_time_sec,latency_ms_sample,best_params
1,1,1,Logistic_Regression,0.7860294664090368,0.43601914039495143,0.5896038078279628,0.5664254926108374,0.2921070345907204,12.268028497695923,0.0029482153678994085,"{'model__C': 0.001, 'model__class_weight': None}"
1,1,1,Decision_Tree,0.7636312885736934,0.39283073921627476,0.6170731212797981,0.5861897920087575,0.3183226708360987,7.819954872131348,0.00212970087978665,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
1,1,1,Random_Forest,0.802187656300134,0.4660728336284535,0.6325089808750952,0.5978978516694033,0.340454490763627,93.48006176948547,0.006369417763960598,"{'model__max_depth': 8, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
1,1,1,Neural_Network_MLP,0.7964458381697903,0.449172279045173,0.6397028359836275,0.6048080870279146,0.34144928161919835,69.51441812515259,0.006022906060239653,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16)}"
2,1,2,Logistic_Regression,0.7754397509726156,0.4281778358265844,0.5875163962101975,0.5651480489528699,0.28475649214746107,9.51264476776123,0.0034415367233007694,"{'model__C': 0.001, 'model__class_weight': None}"
2,1,2,Decision_Tree,0.7584043642379765,0.41112373063270424,0.6269520216057237,0.5923744958311412,0.3471413581524687,7.366090536117554,0.0021223741078564957,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
2,1,2,Random_Forest,0.7883637000783524,0.4798827344465204,0.6329263195803082,0.5971524755421642,0.3518686288944589,92.45230650901794,0.00662502550543187,"{'model__max_depth': 8, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
2,1,2,Neural_Network_MLP,0.7873560266150379,0.47574069897474125,0.6385407866328734,0.6018620370813207,0.35590328809322647,56.91907334327698,0.005255920928973607,"{'model__alpha': 0.1, 'model__hidden_layer_sizes': (32, 16)}"
3,1,3,Logistic_Regression,0.7880704113438696,0.43273357597351647,0.5939493073867741,0.5695123476307555,0.29206719449284785,10.314907550811768,0.0032099507835031496,"{'model__C': 0.001, 'model__class_weight': None}"
3,1,3,Decision_Tree,0.7805711074170728,0.4024549350913881,0.6081701330931442,0.5796637347040863,0.30641404359513397,7.392831802368164,0.0020877187296920066,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
3,1,3,Random_Forest,0.8051195594210558,0.4619602663657099,0.6256773341722013,0.592714369900379,0.3298559311431851,98.17361044883728,0.010000667792055632,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 100}"
3,1,3,Neural_Network_MLP,0.7868568549053105,0.44009453966410633,0.646936405054234,0.6149066436058008,0.3321935928312713,68.46189475059509,0.003456939113596098,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16)}"
